Account Number,Transaction Description,Transaction Date,Transaction Type,Transaction Amount,Balance,Date,Amount,Details
823,Monthly Interest Paid,2024-11-30,Credit,2.78,580.51,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-11-20,Debit,300.0,577.73,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-11-04,Debit,1000.0,877.73,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-11-01,Debit,1000.0,1877.73,,,
823,Monthly Interest Paid,2024-10-31,Credit,11.03,2877.73,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-10-24,Credit,1000.0,2866.7,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-10-07,Debit,6000.0,1866.7,,,
823,Monthly Interest Paid,2024-09-30,Credit,20.62,7866.7,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-09-27,Credit,300.0,7846.08,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-09-16,Credit,1500.0,7546.08,,,
823,Car Payment - Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-09-16,Credit,100.0,6046.08,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-09-10,Credit,2900.0,5946.08,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-09-03,Debit,5000.0,3046.08,,,
823,Monthly Interest Paid,2024-08-31,Credit,24.69,8046.08,,,
823,Car Payment - Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-08-29,Credit,100.0,8021.39,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-08-29,Credit,1000.0,7921.39,,,
823,Monthly Interest Paid,2024-07-31,Credit,8.2,6921.39,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-07-31,Credit,3583.41,6913.19,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-07-16,Credit,2300.0,3329.78,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-07-08,Debit,800.0,1029.78,,,
823,Monthly Interest Paid,2024-06-30,Credit,6.79,1829.78,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-06-24,Debit,300.0,1822.99,,,
823,Monthly Interest Paid,2024-05-31,Credit,4.96,2122.99,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-05-31,Credit,1003.0,2118.03,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-05-10,Credit,400.0,1115.03,,,
823,Car Payment - Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-05-10,Credit,100.0,715.03,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-05-06,Debit,3000.0,615.03,,,
823,Monthly Interest Paid,2024-04-30,Credit,9.56,3615.03,,,
823,Car Payment - Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-04-29,Credit,100.0,3605.47,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-04-29,Credit,400.0,3505.47,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-04-12,Credit,400.0,3105.47,,,
823,Car Payment - Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-04-12,Credit,100.0,2705.47,2024-04-12,100.0,Car payment
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-04-11,Credit,200.0,2605.47,,,
823,Car Payment - Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-04-11,Credit,100.0,2405.47,,,
823,Monthly Interest Paid,2024-03-31,Credit,6.08,2305.47,,,
823,Car Payment - Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-03-19,Credit,100.0,2299.39,,,
823,Preauthorized Deposit from WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-03-19,Credit,1000.0,2199.39,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-03-07,Debit,300.0,1199.39,,,
823,Monthly Interest Paid,2024-02-29,Credit,0.43,1499.39,,,
823,Account Closed - Deposit from Logan Savings XXXXXXX7975,2024-02-29,Credit,0.49,1498.96,,,
823,Preauthorized Withdrawal to WELLS FARGO BANK NA (SOUTH DAKOTA) checking account XXXXXX8942,2024-02-29,Debit,700.0,1498.47,,,
823,Deposit from Logan Savings XXXXXXX7975,2024-02-28,Credit,2198.47,2198.47,,,
